,precision,recall,f1-score,support
At Risk,0.5759312320916905,0.5630252100840336,0.5694050991501416,357.0
Champions,0.7436548223350253,0.846820809248555,0.7918918918918919,346.0
Hibernating or Lost,0.3484848484848485,0.4,0.3724696356275304,115.0
Loyal Customers,0.5880398671096345,0.49441340782122906,0.5371775417298937,358.0
accuracy,0.6096938775510204,0.6096938775510204,0.6096938775510204,0.6096938775510204
macro avg,0.5640276925052997,0.5760648567884544,0.5677360420998644,1176.0
weighted avg,0.6067228302599141,0.6096938775510204,0.6057957338670604,1176.0
