model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,cv_time_seconds
BernoulliNB,0.6120776900988084,0.013202989498961128,0.5783458713501811,0.009869035971380408,0.6105392080236337,0.1695441090000145
CategoricalNB_mixed,0.6316440183598254,0.016968976095639302,0.5517182017098212,0.01566163031325706,0.6157096158276335,0.1469283090000033
GaussianNB_numeric_only,0.49553327153096527,0.009991606279662389,0.4447146407112963,0.017695202269833687,0.4272727400041382,0.09172145199997317
Dummy_most_frequent,0.3037004544735117,0.0004830063739421172,0.11647627475149569,0.00014209918645164904,0.14149580994104052,0.14193355199998337
