fold,MAE,RMSE
1,43.80847759726444,47.420171848612895
2,38.084991269972924,49.59128925920875
3,19.627535441788492,23.704312629036608
4,50.58170017473942,56.3314797499607
5,6.458544296237598,8.165455760822
6,21.39626806430119,27.25249504213628
7,37.979645849184635,41.61501628061121
8,38.27064181337328,50.514613025291254
9,26.07725056001702,31.56046985925532
10,19.003171925977888,23.217600660187085
11,23.44099984319441,29.670774395557654
12,21.5101598140636,30.133996285324397
13,17.01296425920564,21.68456141160946
14,42.17847775611761,49.611610502624536
15,32.09813458645046,34.89279398204975
16,13.407480574978997,16.68135988668515
17,49.919147325213984,53.36012697456251
18,17.5733688489401,21.59687535038191
