model,macro_f1_mean,macro_f1_sd,weighted_f1_mean,accuracy_mean,fit_time_mean
LogisticRegression,0.7445780176739465,0.00802759780498089,0.7956073546775931,0.7929472130768723,1.4718587875366211
LinearSVC,0.7391607460392338,0.011288347335227636,0.7966779164382439,0.8004604809719014,0.7963456153869629
MultinomialNB,0.5858158062147755,0.015062273566137286,0.6901167691267304,0.73633885188834,0.558751106262207
VADER,0.5206462567349533,,,0.5522540983606558,
Dummy,0.256840926586885,,,0.6267076502732241,
